# Time-averaged data for fix fIK
# TimeStep Number-of-rows
# Row c_pIK[1] c_pIK[2] c_pIK[3] c_pIK[4] c_pIK[5] c_pIK[6] c_pIK[7] c_pIK[8]
30000 360
137 13.65 0.653333 0.484998 0.461421 0.509925 -0.728281 -0.854548 -0.919108
138 13.75 0.793333 0.672355 0.673749 0.646791 -0.738064 -0.918956 -0.971146
139 13.85 0.643333 0.60365 0.58457 0.510114 -0.966492 -0.881114 -0.83451
140 13.95 0.793333 0.701152 0.726082 0.641447 -0.823357 -0.735794 -0.831086
141 14.05 0.783333 0.623858 0.679764 0.63927 -0.832369 -0.526502 -0.912786
142 14.15 0.816667 0.666026 0.807564 0.642972 -0.751394 -0.812973 -0.914703
143 14.25 0.776667 0.584905 0.598402 0.692688 -0.608914 -1.02026 -0.921468
144 14.35 0.756667 0.666743 0.663541 0.654184 -0.770238 -0.840548 -0.867383
145 14.45 0.673333 0.552998 0.616152 0.644071 -0.983402 -0.799046 -0.797986
146 14.55 0.733333 0.532886 0.588143 0.574484 -0.731551 -1.00161 -0.809188
147 14.65 0.763333 0.620962 0.687139 0.7205 -0.954786 -0.858615 -0.794971
148 14.75 0.756667 0.688746 0.632314 0.638891 -1.18008 -0.677857 -0.74753
149 14.85 0.723333 0.616053 0.640795 0.575345 -1.11941 -0.703359 -0.707651
150 14.95 0.793333 0.589106 0.813032 0.58718 -0.779633 -0.79657 -0.752277
151 15.05 0.746667 0.571751 0.631026 0.63284 -0.788556 -0.842165 -0.832509
152 15.15 0.756667 0.687699 0.724369 0.740513 -0.757833 -0.8106 -0.756605
153 15.25 0.813333 0.66088 0.753502 0.629765 -0.90721 -0.73405 -0.70223
154 15.35 0.766667 0.592761 0.62556 0.626771 -0.700753 -0.93845 -0.731256
155 15.45 0.75 0.711258 0.618886 0.715148 -0.768615 -1.21142 -0.689468
156 15.55 0.766667 0.591887 0.592098 0.704515 -0.305755 -0.744205 -0.7037
157 15.65 0.676667 0.639507 0.611596 0.65854 -0.529136 -0.515389 -0.703183
158 15.75 0.766667 0.688283 0.647626 0.623968 -0.484366 -0.628813 -0.714835
159 15.85 0.733333 0.572688 0.654164 0.695138 -0.766948 -0.948633 -0.712639
160 15.95 0.783333 0.627032 0.695017 0.571205 -0.677122 -1.20367 -0.778305
161 16.05 0.726667 0.54607 0.663184 0.55832 -0.69486 -0.95363 -0.78023
162 16.15 0.74 0.573926 0.689236 0.639504 -0.331135 -0.978783 -0.809131
163 16.25 0.84 0.656287 0.81334 0.735687 -0.718018 -1.11165 -0.833895
