# Time-averaged data for fix fS
# TimeStep Number-of-rows
# Row c_pSR[1] c_pSR[2] c_pSR[3] c_pSR[4] c_pSR[5] c_pSR[6] c_pSR[7] c_pSR[8]
0 360
138 13.75 0.6 0.479529 0.0297147 0.776428 -1.5146 0.249161 -1.10533
139 13.85 0.6 0.202027 0.165846 0.773892 -0.413324 -0.693555 -1.22112
140 13.95 0.4 0.0918457 0.11541 0.386616 -0.645524 -1.50783 -1.23227
141 14.05 0.6 0.474623 0.569696 0.498455 -0.778799 -1.52534 -1.39098
142 14.15 0.9 0.321448 0.390693 0.311273 -2.23743 -2.28798 -1.37806
143 14.25 0.8 0.526056 0.474601 0.22429 -1.26875 -0.981838 -1.33084
144 14.35 1.1 0.411629 1.32269 0.821005 -1.0216 -0.40333 -1.08122
145 14.45 0.5 0.597461 0.252272 0.916786 -0.286464 -1.45964 -0.986244
146 14.55 0.7 0.433887 0.924705 0.55472 -0.56559 -1.62301 -0.83575
147 14.65 0.6 0.264962 1.4356 0.243479 -1.14687 -1.85688 -0.917478
148 14.75 0.9 1.04314 0.782034 0.884301 -0.49371 -0.74427 -0.792656
149 14.85 0.8 0.502323 0.597898 0.85019 -1.52457 -0.153182 0.443784
150 14.95 0.4 0.515104 0.126924 0.135097 -0.808064 -1.38763 1.21255
151 15.05 1 0.466467 0.678339 0.511305 -0.337883 -0.623647 1.1115
152 15.15 1.1 1.56121 1.81934 1.02552 -1.58879 1.52976 1.69992
153 15.25 0.6 0.510233 0.422539 0.449058 -1.36293 -0.691876 1.82723
154 15.35 0.5 0.373037 1.11416 0.521934 -0.996362 -0.575214 1.89529
155 15.45 0.9 1.27637 0.538677 0.494368 -1.66259 -0.707867 2.16809
156 15.55 0.9 0.455131 0.360703 0.327818 -1.93485 -0.691251 1.70527
157 15.65 0.8 0.899225 0.946457 0.736051 -1.40421 -1.996 0.826937
158 15.75 0.7 0.716937 0.481861 0.939367 -0.820898 -1.77406 0.32231
159 15.85 0.8 0.207274 0.47556 0.823543 -0.80883 -1.2903 -0.127803
160 15.95 0.5 0.531089 0.496092 0.285413 -0.923999 -1.16368 -0.236863
161 16.05 0.7 0.715234 0.559461 0.144704 -1.26434 -1.82574 -0.30278
162 16.15 0.8 0.423561 0.542354 0.882195 -0.729059 -1.20549 -0.491934
163 16.25 1.1 0.515528 0.667817 1.14207 -0.541019 -0.863239 -0.846856
164 16.35 0.6 0.0696125 0.642367 0.28935 -0.647665 -0.0525589 -0.872423
165 16.45 0.9 0.377363 0.978494 0.359869 -0.591632 0.903514 -0.666402
166 16.55 0.8 0.225349 0.520227 0.538478 0.0979781 -1.32402 -0.293223
167 16.65 0.9 0.483473 0.850735 0.573023 0.431404 -1.65461 -0.330222
168 16.75 0.6 0.335177 0.939633 0.630387 0.243951 -1.25357 -0.0860017
169 16.85 0.4 0.279622 0.144723 0.42395 -0.27315 -1.29723 -0.35026
170 16.95 0.4 0.667625 0.205875 0.449937 1.07047 0.145973 -0.354511
171 17.05 1 0.459967 0.354183 0.899645 3.74455 0.917883 -0.550419
172 17.15 1 0.495241 0.668971 0.465736 0.779321 0.790731 -0.495384
173 17.25 1 0.666025 1.09384 0.614834 1.12595 0.296016 -0.131006
174 17.35 1.5 1.34652 1.71346 1.20202 0.339684 0.716606 -0.704976
175 17.45 0.3 0.441011 0.231643 0.699756 -1.79612 -2.22965 -1.12527
176 17.55 0.5 0.335435 0.174124 0.733388 -0.639782 1.05904 -1.04576
177 17.65 0.4 0.0776451 0.139382 0.310832 1.459 -1.10922 -1.00813
178 17.75 0.9 0.619686 0.967737 0.869436 2.01759 -1.65337 -0.841458
179 17.85 0.7 0.391385 0.490359 0.718367 -0.31116 -2.04688 -0.544227
180 17.95 0.8 0.419473 0.73682 1.10618 -1.98264 -1.60795 -0.649743
181 18.05 1 0.887901 1.41418 0.832752 -2.73922 0.222757 -0.626675
182 18.15 0.6 0.438876 0.510616 0.363271 0.469551 -0.729105 -0.464451
183 18.25 0.7 0.778639 0.353225 0.386385 -2.44603 -0.747553 -0.607468
184 18.35 1.1 0.835589 0.373777 0.532233 -0.64376 1.33744 -0.0189207
185 18.45 0.6 0.286741 0.440121 0.803459 -1.38548 0.402778 0.230082
186 18.55 0.8 0.328205 0.920168 0.768441 4.36954 1.35959 0.274555
187 18.65 0.7 0.518894 0.81292 0.550195 -0.872607 0.84994 0.237226
188 18.75 0.5 0.67329 0.474437 0.289708 -0.764285 -0.310131 -0.0074518
189 18.85 1.1 0.625096 0.37607 0.491188 -0.498489 1.22553 -0.792748
190 18.95 0.2 0.0282691 0.116273 0.135034 -1.59405 -0.669844 -1.12694
191 19.05 1.6 1.67317 1.74839 0.891389 -1.52664 -0.851796 -1.25931
192 19.15 0.5 0.133417 0.341675 0.50647 -1.8055 -1.39177 -1.08768
193 19.25 0.9 0.728404 0.535767 1.08173 0.583874 2.57475 -0.88061
194 19.35 0.6 0.38268 0.150056 0.672002 -0.389552 0.557084 -1.14938
195 19.45 0.9 1.38085 0.833997 0.124694 0.973866 2.19552 -0.798348
196 19.55 0.5 0.274766 0.144467 0.158001 -0.18158 0.233554 -0.745726
