# Time-averaged data for fix f1
# TimeStep Number-of-rows
# Row c_pp[1] c_pp[2] c_pp[3] c_pp[4] c_pp[5] c_pp[6] c_pp[7] c_pp[8]
0 395
245 14.6942 0 0 0 0 4.90856 5.23709 5.58588
246 14.7543 0 0 0 0 5.40169 5.26014 5.97793
247 14.8144 0 0 0 0 4.08607 4.07824 5.76158
248 14.8745 0 0 0 0 3.34246 5.11745 5.8521
249 14.9346 0 0 0 0 5.54835 9.60655 5.91605
250 14.9947 0 0 0 0 3.62754 5.44898 5.79912
251 15.0548 0 0 0 0 7.80595 5.36983 6.1389
252 15.1148 0 0 0 0 7.2369 8.94508 6.28497
253 15.1749 0 0 0 0 8.11853 6.64172 6.4979
254 15.235 0 0 0 0 6.51335 10.1926 6.27402
255 15.2951 0 0 0 0 5.01031 5.3752 6.582
256 15.3552 0 0 0 0 4.74823 3.54818 6.51304
257 15.4153 0 0 0 0 4.62325 3.06894 5.91043
258 15.4754 0 0 0 0 2.56075 3.9252 5.25791
259 15.5355 0 0 0 0 1.26318 2.95962 4.89185
260 15.5956 0 0 0 0 1.78023 2.32036 4.34809
261 15.6557 0 0 0 0 1.33546 2.2562 3.63979
262 15.7158 0 0 0 0 2.82302 2.40471 3.19382
263 15.7759 0 0 0 0 4.49896 4.28879 3.02878
264 15.836 0 0 0 0 5.78462 5.94079 2.90472
265 15.8961 0 0 0 0 5.83789 5.68616 2.59201
266 15.9562 0 0 0 0 5.13119 3.75406 2.60153
267 16.0163 0 0 0 0 6.18894 6.18664 1.87856
268 16.0764 0 0 0 0 1.59267 2.74923 0.90642
269 16.1365 0 0 0 0 1.37723 5.22189 0.871866
270 16.1966 0 0 0 0 1.20074 2.5306 0.397822
271 16.2567 0 0 0 0 1.35563 1.60784 0.64209
272 16.3168 0 0 0 0 2.66808 3.08102 0.954365
273 16.3769 0 0 0 0 2.71699 3.38376 0.992782
274 16.437 0 0 0 0 1.53396 1.19684 0.981566
275 16.4971 0 0 0 0 1.63474 -0.0411973 1.04029
276 16.5572 0 0 0 0 2.21131 0.0249833 1.20182
277 16.6173 0 0 0 0 2.1296 -0.459562 1.12479
278 16.6774 0 0 0 0 3.18774 -0.406889 1.28873
279 16.7375 0 0 0 0 8.122 1.2195 1.57971
280 16.7976 0 0 0 0 10.0511 17.9309 1.69825
281 16.8577 0 0 0 0 2.07865 7.95426 1.50251
282 16.9178 0 0 0 0 0.921047 4.72013 1.65154
283 16.9779 0 0 0 0 -0.365236 10.9911 2.0436
284 17.038 0 0 0 0 0.295848 4.6604 2.66362
285 17.0981 0 0 0 0 -0.189956 3.07653 2.47507
286 17.1582 0 0 0 0 0.292125 3.44953 2.6773
287 17.2183 0 0 0 0 4.75977 3.07028 2.67297
288 17.2784 0 0 0 0 4.73201 6.76296 2.54352
289 17.3385 0 0 0 0 2.16449 2.21575 2.70827
290 17.3986 0 0 0 0 0.136644 1.19169 2.6066
291 17.4587 0 0 0 0 -0.372718 0.730681 2.58009
292 17.5188 0 0 0 0 -0.779288 0.554529 2.86108
293 17.5789 0 0 0 0 0.23042 2.32131 3.19356
294 17.639 0 0 0 0 -0.0958835 0.342633 2.68341
295 17.6991 0 0 0 0 -0.148184 -1.38188 1.54002
296 17.7592 0 0 0 0 2.51989 0.101119 1.55904
297 17.8193 0 0 0 0 0.30409 0.537785 2.18818
298 17.8794 0 0 0 0 -0.0322064 2.03182 2.41755
299 17.9395 0 0 0 0 8.72709 3.46627 2.07518
300 17.9996 0 0 0 0 1.9521 2.68922 1.89077
301 18.0597 0 0 0 0 0.0280897 0.950608 1.80975
302 18.1198 0 0 0 0 0.0635115 0.913509 1.98653
303 18.1799 0 0 0 0 0.377493 1.13372 1.67081
304 18.24 0 0 0 0 0.6982 1.67722 1.56515
305 18.3001 0 0 0 0 1.43835 2.8221 1.8735
306 18.3602 0 0 0 0 6.01478 5.27432 1.74691
307 18.4203 0 0 0 0 1.63177 2.93132 1.55598
308 18.4804 0 0 0 0 1.44756 1.67534 1.59772
309 18.5405 0 0 0 0 1.0979 1.82671 1.68038
310 18.6006 0 0 0 0 2.74377 0.641329 1.53301
311 18.6607 0 0 0 0 3.19842 0.248499 0.921365
312 18.7208 0 0 0 0 1.07436 0.792886 0.972232
313 18.7809 0 0 0 0 0.365137 0.214011 0.697946
314 18.841 0 0 0 0 7.05593 0.134561 0.824683
315 18.9011 0 0 0 0 1.463 0.102982 0.823763
316 18.9612 0 0 0 0 1.36765 2.35014 0.72213
317 19.0213 0 0 0 0 0.912757 2.60546 0.608884
318 19.0814 0 0 0 0 0.245709 0.981465 0.463085
319 19.1415 0 0 0 0 -0.134347 1.19575 0.633014
320 19.2016 0 0 0 0 -0.286588 2.36552 0.825992
321 19.2617 0 0 0 0 -0.504114 2.29188 0.760678
322 19.3218 0 0 0 0 -0.986749 0.0770621 0.682451
323 19.3819 0 0 0 0 -0.604254 -0.329647 0.598482
324 19.442 0 0 0 0 0.344633 -0.239971 0.606215
325 19.5021 0 0 0 0 -0.425771 -0.519839 0.566749
326 19.5622 0 0 0 0 -0.337299 -0.427055 0.368598
327 19.6223 0 0 0 0 0.392146 -0.150631 0.72582
328 19.6824 0 0 0 0 -0.513316 0.979168 0.831362
329 19.7425 0 0 0 0 -1.10753 0.798325 0.710271
330 19.8026 0 0 0 0 -1.07958 -0.474786 0.830624
331 19.8627 0 0 0 0 -0.857494 -0.439782 0.838686
332 19.9228 0 0 0 0 3.08211 0.235816 0.558181
333 19.9829 0 0 0 0 -0.478057 -0.485839 -0.0671826
334 20.043 0 0 0 0 -0.211374 -0.233196 -0.135184
335 20.1031 0 0 0 0 -0.334914 -0.135609 -0.201121
336 20.1631 0 0 0 0 -0.619651 -0.145147 -0.271123
337 20.2232 0 0 0 0 -1.03401 -0.252509 -0.39875
338 20.2833 0 0 0 0 -0.711153 -0.369639 -0.34756
339 20.3434 0 0 0 0 -0.686031 -0.52731 -0.333609
340 20.4035 0 0 0 0 -1.10085 -1.19236 -0.314197
341 20.4636 0 0 0 0 -0.916783 -0.669547 -0.25738
342 20.5237 0 0 0 0 -0.622389 -0.530111 -0.376984
343 20.5838 0 0 0 0 -0.364143 -0.336219 -0.384259
344 20.6439 0 0 0 0 -0.427589 -0.540827 -0.50741
345 20.704 0 0 0 0 -0.352575 -0.516944 -0.247729
346 20.7641 0 0 0 0 -0.125562 -0.243029 -0.0664103
347 20.8242 0 0 0 0 -0.0830539 -0.216768 -0.030045
348 20.8843 0 0 0 0 -0.254175 -0.121951 0.0214807
349 20.9444 0 0 0 0 -0.296775 -0.102047 0.0259003
350 21.0045 0 0 0 0 -0.427884 -0.181495 0.0442057
351 21.0646 0 0 0 0 -0.370853 -0.237236 -0.0300148
352 21.1247 0 0 0 0 -0.525926 -0.18212 -0.0654101
353 21.1848 0 0 0 0 -0.347089 0.000857761 0.0212623
354 21.2449 0 0 0 0 -0.181065 0.23272 0.0778579
355 21.305 0 0 0 0 -0.217334 0.0502515 -0.00958347
356 21.3651 0 0 0 0 -0.235332 0.0392001 -0.00357659
357 21.4252 0 0 0 0 -0.401068 -0.284759 0.01549
358 21.4853 0 0 0 0 -0.412064 -0.37362 0.000417763
359 21.5454 0 0 0 0 -0.321033 -0.308013 -0.179879
360 21.6055 0 0 0 0 -0.273656 -0.263803 -0.228817
361 21.6656 0 0 0 0 -0.316225 -0.250322 -0.233528
362 21.7257 0 0 0 0 -0.433222 -0.327444 -0.220717
363 21.7858 0 0 0 0 -0.235304 -0.228219 -0.181692
364 21.8459 0 0 0 0 -0.126686 -0.17135 -0.130551
365 21.906 0 0 0 0 -0.157082 -0.160198 -0.110752
366 21.9661 0 0 0 0 -0.178535 -0.0851066 -0.0311952
367 22.0262 0 0 0 0 -0.138161 0.00778667 0.0213251
368 22.0863 0 0 0 0 -0.138161 0.00778667 0.0213251
369 22.1464 0 0 0 0 -0.0839732 0.0449996 0.0376549
370 22.2065 0 0 0 0 -0.0736371 0.0542684 0.0472747
371 22.2666 0 0 0 0 -0.0745312 0.0531221 0.0455902
372 22.3267 0 0 0 0 -0.0738105 0.0566002 0.0403442
373 22.3868 0 0 0 0 -0.0620119 0.065392 0.0516278
374 22.4469 0 0 0 0 -0.0562284 0.0692655 0.0572769
375 22.507 0 0 0 0 -0.0562284 0.0692655 0.0572769
376 22.5671 0 0 0 0 -0.0562284 0.0692655 0.0572769
377 22.6272 0 0 0 0 -0.0530872 0.0310146 0.0238684
378 22.6873 0 0 0 0 -0.0449546 -0.0151689 -0.00796503
379 22.7474 0 0 0 0 -0.0441251 -0.0141083 -0.00537402
380 22.8075 0 0 0 0 -0.0315836 -0.0210279 -0.00167223
381 22.8676 0 0 0 0 -0.0227549 -0.0380992 -0.0294745
382 22.9277 0 0 0 0 -0.0281404 -0.0663947 -0.0490103
383 22.9878 0 0 0 0 -0.0281404 -0.0663947 -0.0490103
384 23.0479 0 0 0 0 -0.0337476 -0.0824692 -0.049938
385 23.108 0 0 0 0 -0.043499 -0.110424 -0.0515513
386 23.1681 0 0 0 0 -0.1073 -0.144743 -0.0517106
387 23.2282 0 0 0 0 -0.120621 -0.146211 -0.0551489
388 23.2883 0 0 0 0 -0.0235022 -0.0561625 -0.0547917
389 23.3484 0 0 0 0 -0.00703496 -0.0145649 -0.0526603
390 23.4085 0 0 0 0 -0.00580922 -0.0114685 -0.0525017
391 23.4686 0 0 0 0 -0.00580922 -0.0114685 -0.0525017
392 23.5287 0 0 0 0 -0.00580922 -0.0114685 -0.0525017
393 23.5888 0 0 0 0 -0.00580922 -0.0114685 -0.0525017
394 23.6489 0 0 0 0 -0.00580922 -0.0114685 -0.0525017
395 23.709 0 0 0 0 -0.00583226 -0.0114359 -0.052094
