# Time-averaged data for fix fa
# TimeStep Number-of-rows
# Row c_pA[1] c_pA[2] c_pA[3] c_pA[4] c_pA[5] c_pA[6] c_pA[7] c_pA[8]
0 360
115 11.45 0.7 0.694069 0.415493 0.368703 -0.898999 -0.311058 -0.483287
116 11.55 0.4 0.0561717 0.123713 0.359263 -2.23178 -2.47877 -0.506151
117 11.65 0.5 0.374692 0.457224 0.391731 -1.51923 -1.40679 -0.371226
118 11.75 1.1 1.64336 1.7243 0.589243 0.751542 -0.876847 -0.247515
119 11.85 0.5 0.499608 0.249511 0.760358 0.09391 -1.27374 0.0709023
120 11.95 0.5 0.695282 0.394507 0.403824 0.258634 -1.39009 0.191759
121 12.05 1.2 0.355508 0.626609 1.09899 -0.397242 -2.06751 -0.177875
122 12.15 0.9 0.348337 0.944908 0.509655 -2.33961 0.239044 -0.462858
123 12.25 0.8 1.0757 0.587912 0.613077 -2.4703 -2.10971 -0.864511
124 12.35 0.2 0.136944 0.086632 0.165451 -1.39045 -0.0276872 -0.987542
125 12.45 0.9 0.29477 0.502608 0.711843 -0.32592 -1.07088 -1.09048
126 12.55 0.9 0.900364 0.427027 0.302684 0.192106 -1.66428 -1.34503
127 12.65 0.7 1.14559 0.494242 0.732023 0.151259 -0.106565 -1.65743
128 12.75 1 0.412188 0.598739 0.71033 -0.761072 -0.828639 -1.76027
129 12.85 0.4 0.0771772 0.0750024 0.155461 -2.28967 -1.62718 -1.72851
130 12.95 0.6 0.690625 0.865666 0.58435 -1.3607 -2.43596 -1.8671
131 13.05 0.8 0.597926 0.596513 0.881569 -2.85121 -2.95716 -1.72562
132 13.15 1 0.760194 1.98697 0.584881 0.909803 -2.51211 -1.15529
133 13.25 0.5 0.268486 0.553581 0.619367 2.66862 -1.58675 -1.11723
134 13.35 0.8 0.967183 0.891072 0.788047 -1.88155 -1.37227 -1.00983
135 13.45 0.9 0.891343 0.479483 1.32178 -2.8648 -1.65856 -0.942841
136 13.55 0.4 0.637371 0.3819 0.322028 -1.5746 -0.736385 -0.535418
137 13.65 0.9 0.47408 1.45792 0.24879 -1.79798 -0.425299 -0.743314
138 13.75 1.1 0.368033 1.2453 0.565319 -0.228342 -1.23275 -0.61842
139 13.85 0.7 1.06568 0.565038 0.87898 -1.78405 -2.53558 -0.893829
140 13.95 0.6 0.278621 0.245051 0.445204 -0.33129 -1.87116 -0.610541
141 14.05 0.5 0.184147 0.259827 0.177248 -0.761836 -0.214405 -0.60743
142 14.15 0.7 0.244882 0.440477 0.50138 -1.26177 0.361296 -0.308961
143 14.25 1.1 1.70637 0.521333 1.20015 -2.16065 -1.75728 -0.234343
144 14.35 0.6 0.667011 0.538164 0.299291 0.438453 -0.881682 -0.246168
145 14.45 0.7 0.625566 0.72893 0.584989 -1.54007 0.85767 -0.256593
146 14.55 1 0.845231 0.86345 1.49671 -0.592031 1.77243 -0.719168
147 14.65 1.3 1.02499 1.19222 1.30698 -1.34833 0.171023 -0.7629
148 14.75 0.5 0.0372469 0.548645 0.41285 -2.26657 -0.658824 -0.735776
149 14.85 0.7 0.3656 1.41098 0.60565 -2.48074 -1.20916 -0.886493
150 14.95 0.5 0.765668 0.293508 0.495109 -2.77403 -2.37207 -0.921101
151 15.05 0.7 0.579931 1.03434 0.660226 -2.71137 -2.06206 -1.35278
152 15.15 0.6 0.326801 0.281543 0.247668 -2.39622 -1.80085 -1.3853
153 15.25 0.6 0.734516 0.367404 0.478843 -1.97837 -2.457 -1.30138
154 15.35 1 1.00935 0.546974 0.802398 -1.97031 -1.31697 -1.22446
155 15.45 0.7 0.335043 0.799936 0.414362 -1.74227 -2.61715 -0.920309
156 15.55 0.9 0.840465 0.561241 1.13804 -2.56047 -1.96242 -0.44274
157 15.65 0.5 0.468228 0.15834 0.30281 -1.97566 -0.644048 -0.596327
158 15.75 0.7 0.282275 0.367936 0.404853 -1.0616 -0.0268041 -0.445653
159 15.85 0.8 0.488028 0.780296 1.05543 0.480343 -0.986592 -0.0733339
160 15.95 0.8 2.25121 0.792323 0.779665 -0.679809 -0.387272 -0.397559
161 16.05 0.5 0.425061 0.679219 0.237013 -1.29123 -0.980512 -0.599811
162 16.15 1 0.353506 0.37359 0.296093 -1.68919 -0.387237 -0.77679
163 16.25 0.6 0.263939 0.638369 0.354744 -1.13254 -2.02101 -1.08037
164 16.35 0.4 0.662349 0.123237 0.100596 0.225698 -1.46676 -1.27139
165 16.45 0.7 0.900583 0.986602 0.406382 -1.11989 -2.81772 -1.63073
166 16.55 1 0.514663 0.95277 0.266137 -1.7247 -2.64716 -1.50268
167 16.65 1 1.00407 0.782471 1.206 1.12742 -1.72515 -0.741119
168 16.75 0.5 0.14636 0.14315 0.516022 -1.45525 -0.139773 -0.763048
169 16.85 0.7 0.112688 0.495819 0.256008 0.278104 1.35975 -0.495918
170 16.95 0.6 0.173407 0.281675 0.588967 0.860077 -0.753001 -0.442005
171 17.05 0.7 1.3216 0.324967 0.254496 -1.02393 -0.945238 -0.0489452
172 17.15 1 0.544072 0.749251 1.52161 -1.76095 -0.269605 0.311304
173 17.25 0.8 0.438375 0.426126 0.931632 -1.59813 -0.767667 -0.468895
174 17.35 0.8 0.641153 0.673236 0.287209 -1.51987 -1.51035 -0.0484795
175 17.45 0.7 0.368409 0.467463 0.220345 -2.06274 -1.74113 0.00812209
176 17.55 1.2 0.795406 1.25292 0.356985 -1.42245 -1.18431 -0.0617044
177 17.65 0.4 0.337466 0.504676 0.801495 -1.1746 -1.10799 -0.0991655
178 17.75 0.5 0.245438 0.114636 0.491753 -1.31594 -0.493069 -0.332658
179 17.85 0.9 0.406278 0.706957 1.00184 -1.6796 -0.661201 -0.692569
180 17.95 0.6 0.382036 0.625764 0.471416 0.354572 0.809822 -0.804968
181 18.05 1.2 0.357383 0.557303 1.17931 -1.79271 -0.266639 -0.715437
182 18.15 0.5 0.713564 0.368919 0.45589 -1.90405 -1.24311 -1.0453
183 18.25 0.8 0.471482 0.725145 0.839233 -1.75486 -0.798403 -1.27451
184 18.35 0.8 0.19065 0.781385 0.429735 -0.537473 -1.77361 -1.00462
185 18.45 0.9 1.49555 0.946792 1.1713 -1.56787 -1.52287 -0.930986
186 18.55 0.7 0.404101 0.58564 0.378443 0.0786588 -0.424521 -0.752632
187 18.65 0.5 0.493798 0.283477 0.249846 -0.913981 0.00889235 -0.312872
188 18.75 0.8 1.01338 1.62931 0.473226 -1.22819 -1.0766 -0.2823
189 18.85 0.7 0.937879 0.378161 0.295454 -1.25074 -0.463474 -0.757695
190 18.95 0.9 1.12722 1.19948 0.959917 -2.3202 -0.742216 -0.876067
191 19.05 1 0.531768 1.68649 1.3556 -1.46503 -0.062528 -1.19165
192 19.15 0.6 0.259872 0.978355 0.516315 -2.73404 -0.458145 -1.38937
193 19.25 1.1 1.03558 1.3182 0.485788 -3.03481 -2.02067 -1.52671
194 19.35 1 1.02956 2.01406 0.397636 -1.21979 -3.47949 -1.80511
195 19.45 0.3 0.694856 0.111568 0.135925 0.166159 -2.32811 -2.06385
