# Time-averaged data for fix f1
# TimeStep Number-of-rows
# Row c_pIKlr[1] c_pIKlr[2] c_pIKlr[3] c_pIKlr[4] c_pIKlr[5] c_pIKlr[6] c_pIKlr[7] c_pIKlr[8]
0 395
221 13.2518 0 0 0 0 -0.0467159 -0.0467159 -0.0473885
222 13.3119 0 0 0 0 -0.0461789 -0.0461789 -0.0471849
223 13.372 0 0 0 0 -0.0465877 -0.0465877 -0.047207
224 13.4321 0 0 0 0 -0.0464949 -0.0464949 -0.0471148
225 13.4922 0 0 0 0 -0.0459093 -0.0459093 -0.0469298
226 13.5523 0 0 0 0 -0.0462664 -0.0462664 -0.0469677
227 13.6124 0 0 0 0 -0.0457117 -0.0457117 -0.0467939
228 13.6725 0 0 0 0 -0.0460974 -0.0460974 -0.0468425
229 13.7326 0 0 0 0 -0.0459798 -0.0459798 -0.0467787
230 13.7927 0 0 0 0 -0.0453722 -0.0453722 -0.0466267
231 13.8528 0 0 0 0 -0.0457008 -0.0457008 -0.0466982
232 13.9129 0 0 0 0 -0.0451209 -0.0451209 -0.0465636
233 13.973 0 0 0 0 -0.0454737 -0.0454737 -0.0466512
234 14.0331 0 0 0 0 -0.0453205 -0.0453205 -0.0466291
235 14.0932 0 0 0 0 -0.0446811 -0.0446811 -0.0465207
236 14.1533 0 0 0 0 -0.0449659 -0.0449659 -0.0466352
237 14.2134 0 0 0 0 -0.0443449 -0.0443449 -0.046547
238 14.2735 0 0 0 0 -0.0446303 -0.0446303 -0.0466823
239 14.3336 0 0 0 0 -0.0440105 -0.0440105 -0.0466154
240 14.3937 0 0 0 0 -0.0442903 -0.0442903 -0.0467724
241 14.4538 0 0 0 0 -0.0436674 -0.0436674 -0.0467276
242 14.5139 0 0 0 0 -0.0439392 -0.0439392 -0.046908
243 14.574 0 0 0 0 -0.0433112 -0.0433112 -0.0468862
244 14.6341 0 0 0 0 -0.0435733 -0.0435733 -0.0470902
245 14.6942 0 0 0 0 -0.0429387 -0.0429387 -0.0470912
246 14.7543 0 0 0 0 -0.0431891 -0.0431891 -0.0473202
247 14.8144 0 0 0 0 -0.0425461 -0.0425461 -0.0473462
248 14.8745 0 0 0 0 -0.0427812 -0.0427812 -0.0476031
249 14.9346 0 0 0 0 -0.0421259 -0.0421259 -0.0476553
250 14.9947 0 0 0 0 -0.0423359 -0.0423359 -0.0479407
251 15.0548 0 0 0 0 -0.0416533 -0.0416533 -0.048019
252 15.1148 0 0 0 0 -0.0414516 -0.0414516 -0.0482259
253 15.1749 0 0 0 0 -0.0416785 -0.0416785 -0.0485546
254 15.235 0 0 0 0 -0.0410099 -0.0410099 -0.0486727
255 15.2951 0 0 0 0 -0.0407981 -0.0407981 -0.0489194
256 15.3552 0 0 0 0 -0.0406285 -0.0406285 -0.049179
257 15.4153 0 0 0 0 -0.0404998 -0.0404998 -0.0494513
258 15.4754 0 0 0 0 -0.040777 -0.040777 -0.0498535
259 15.5355 0 0 0 0 -0.0401649 -0.0401649 -0.0500361
260 15.5956 0 0 0 0 -0.0399905 -0.0399905 -0.0503469
261 15.6557 0 0 0 0 -0.0398489 -0.0398489 -0.0506702
262 15.7158 0 0 0 0 -0.0397314 -0.0397314 -0.0510058
263 15.7759 0 0 0 0 -0.0396344 -0.0396344 -0.0513538
264 15.836 0 0 0 0 -0.0395562 -0.0395562 -0.0517144
265 15.8961 0 0 0 0 -0.0394959 -0.0394959 -0.052088
266 15.9562 0 0 0 0 -0.0394527 -0.0394527 -0.0524746
267 16.0163 0 0 0 0 -0.0394261 -0.0394261 -0.0528743
268 16.0764 0 0 0 0 -0.0394156 -0.0394156 -0.053287
269 16.1365 0 0 0 0 -0.0394202 -0.0394202 -0.0537126
270 16.1966 0 0 0 0 -0.0394385 -0.0394385 -0.0541513
271 16.2567 0 0 0 0 -0.0394672 -0.0394672 -0.054603
272 16.3168 0 0 0 0 -0.039498 -0.039498 -0.0550674
273 16.3769 0 0 0 0 -0.0391853 -0.0391853 -0.0553878
274 16.437 0 0 0 0 -0.0397205 -0.0397205 -0.0559915
275 16.4971 0 0 0 0 -0.039905 -0.039905 -0.0564941
276 16.5572 0 0 0 0 -0.0400864 -0.0400864 -0.0570098
277 16.6173 0 0 0 0 -0.0402649 -0.0402649 -0.057539
278 16.6774 0 0 0 0 -0.0400871 -0.0400871 -0.0579092
279 16.7375 0 0 0 0 -0.0407588 -0.0407588 -0.0585787
280 16.7976 0 0 0 0 -0.0410885 -0.0410885 -0.05915
281 16.8577 0 0 0 0 -0.0414106 -0.0414106 -0.0597354
282 16.9178 0 0 0 0 -0.0413624 -0.0413624 -0.0601483
283 16.9779 0 0 0 0 -0.0421772 -0.0421772 -0.0608735
284 17.038 0 0 0 0 -0.0426646 -0.0426646 -0.0615016
285 17.0981 0 0 0 0 -0.0431586 -0.0431586 -0.0621443
286 17.1582 0 0 0 0 -0.0436617 -0.0436617 -0.0628018
287 17.2183 0 0 0 0 -0.0437827 -0.0437827 -0.0632705
288 17.2784 0 0 0 0 -0.0448008 -0.0448008 -0.0640671
289 17.3385 0 0 0 0 -0.0455094 -0.0455094 -0.0647699
290 17.3986 0 0 0 0 -0.046243 -0.046243 -0.0654882
291 17.4587 0 0 0 0 -0.0470131 -0.0470131 -0.0662226
292 17.5188 0 0 0 0 -0.0478264 -0.0478264 -0.0669734
293 17.5789 0 0 0 0 -0.0486881 -0.0486881 -0.0677408
294 17.639 0 0 0 0 -0.0496036 -0.0496036 -0.0685244
295 17.6991 0 0 0 0 -0.0505788 -0.0505788 -0.0693237
296 17.7592 0 0 0 0 -0.0516214 -0.0516214 -0.0701386
297 17.8193 0 0 0 0 -0.0527451 -0.0527451 -0.0709695
298 17.8794 0 0 0 0 -0.0544611 -0.0544611 -0.0720559
299 17.9395 0 0 0 0 -0.0552527 -0.0552527 -0.0728163
300 17.9996 0 0 0 0 -0.0565221 -0.0565221 -0.0736973
301 18.0597 0 0 0 0 -0.0584506 -0.0584506 -0.0748426
302 18.1198 0 0 0 0 -0.0594494 -0.0594494 -0.0756539
303 18.1799 0 0 0 0 -0.0615311 -0.0615311 -0.0768364
304 18.24 0 0 0 0 -0.063237 -0.063237 -0.0779355
305 18.3001 0 0 0 0 -0.0643823 -0.0643823 -0.0787951
306 18.3602 0 0 0 0 -0.0667103 -0.0667103 -0.0800308
307 18.4203 0 0 0 0 -0.0687034 -0.0687034 -0.0811836
308 18.4804 0 0 0 0 -0.0707673 -0.0707673 -0.0823539
309 18.5405 0 0 0 0 -0.0735595 -0.0735595 -0.0838073
310 18.6006 0 0 0 0 -0.0751958 -0.0751958 -0.0849135
311 18.6607 0 0 0 0 -0.0773996 -0.0773996 -0.0861348
312 18.7208 0 0 0 0 -0.0804261 -0.0804261 -0.0876424
313 18.7809 0 0 0 0 -0.082297 -0.082297 -0.088796
314 18.841 0 0 0 0 -0.0855123 -0.0855123 -0.0903346
315 18.9011 0 0 0 0 -0.088283 -0.088283 -0.0917901
316 18.9612 0 0 0 0 -0.0910762 -0.0910762 -0.0932591
317 19.0213 0 0 0 0 -0.0939202 -0.0939202 -0.0947406
318 19.0814 0 0 0 0 -0.0968352 -0.0968352 -0.0962337
319 19.1415 0 0 0 0 -0.0998417 -0.0998417 -0.0977375
320 19.2016 0 0 0 0 -0.102971 -0.102971 -0.0992514
321 19.2617 0 0 0 0 -0.107045 -0.107045 -0.101055
322 19.3218 0 0 0 0 -0.1105 -0.1105 -0.10277
323 19.3819 0 0 0 0 -0.11309 -0.11309 -0.104212
324 19.442 0 0 0 0 -0.117307 -0.117307 -0.106038
325 19.5021 0 0 0 0 -0.120975 -0.120975 -0.107769
326 19.5622 0 0 0 0 -0.124682 -0.124682 -0.109502
327 19.6223 0 0 0 0 -0.129324 -0.129324 -0.111517
328 19.6824 0 0 0 0 -0.132282 -0.132282 -0.11315
329 19.7425 0 0 0 0 -0.136001 -0.136001 -0.114885
330 19.8026 0 0 0 0 -0.140805 -0.140805 -0.116899
331 19.8627 0 0 0 0 -0.144864 -0.144864 -0.118806
332 19.9228 0 0 0 0 -0.148839 -0.148839 -0.120709
333 19.9829 0 0 0 0 -0.152772 -0.152772 -0.122606
334 20.043 0 0 0 0 -0.156689 -0.156689 -0.124494
335 20.1031 0 0 0 0 -0.160614 -0.160614 -0.126371
336 20.1631 0 0 0 0 -0.164585 -0.164585 -0.128236
337 20.2232 0 0 0 0 -0.169593 -0.169593 -0.130361
338 20.2833 0 0 0 0 -0.172646 -0.172646 -0.132085
339 20.3434 0 0 0 0 -0.177586 -0.177586 -0.134178
340 20.4035 0 0 0 0 -0.181598 -0.181598 -0.136134
341 20.4636 0 0 0 0 -0.185456 -0.185456 -0.138067
342 20.5237 0 0 0 0 -0.189199 -0.189199 -0.139976
343 20.5838 0 0 0 0 -0.192851 -0.192851 -0.141858
344 20.6439 0 0 0 0 -0.196434 -0.196434 -0.143714
345 20.704 0 0 0 0 -0.199984 -0.199984 -0.145543
346 20.7641 0 0 0 0 -0.204541 -0.204541 -0.147605
347 20.8242 0 0 0 0 -0.206807 -0.206807 -0.149244
348 20.8843 0 0 0 0 -0.209979 -0.209979 -0.150985
349 20.9444 0 0 0 0 -0.214273 -0.214273 -0.152948
350 21.0045 0 0 0 0 -0.217342 -0.217342 -0.154733
351 21.0646 0 0 0 0 -0.21906 -0.21906 -0.156224
352 21.1247 0 0 0 0 -0.22289 -0.22289 -0.158074
353 21.1848 0 0 0 0 -0.225558 -0.225558 -0.159734
354 21.2449 0 0 0 0 -0.227977 -0.227977 -0.161351
355 21.305 0 0 0 0 -0.230172 -0.230172 -0.162921
356 21.3651 0 0 0 0 -0.232136 -0.232136 -0.164444
357 21.4252 0 0 0 0 -0.232851 -0.232851 -0.165675
358 21.4853 0 0 0 0 -0.235805 -0.235805 -0.167262
359 21.5454 0 0 0 0 -0.237632 -0.237632 -0.168632
360 21.6055 0 0 0 0 -0.240342 -0.240342 -0.170189
361 21.6656 0 0 0 0 -0.240408 -0.240408 -0.171283
362 21.7257 0 0 0 0 -0.241346 -0.241346 -0.172498
363 21.7858 0 0 0 0 -0.242162 -0.242162 -0.173656
364 21.8459 0 0 0 0 -0.242835 -0.242835 -0.174758
365 21.906 0 0 0 0 -0.243359 -0.243359 -0.175802
366 21.9661 0 0 0 0 -0.243732 -0.243732 -0.176789
367 22.0262 0 0 0 0 -0.243951 -0.243951 -0.177719
368 22.0863 0 0 0 0 -0.244017 -0.244017 -0.17859
369 22.1464 0 0 0 0 -0.243929 -0.243929 -0.179404
370 22.2065 0 0 0 0 -0.243685 -0.243685 -0.180159
371 22.2666 0 0 0 0 -0.243284 -0.243284 -0.180855
372 22.3267 0 0 0 0 -0.242719 -0.242719 -0.181491
373 22.3868 0 0 0 0 -0.241981 -0.241981 -0.182067
374 22.4469 0 0 0 0 -0.241043 -0.241043 -0.182582
375 22.507 0 0 0 0 -0.238935 -0.238935 -0.18282
376 22.5671 0 0 0 0 -0.239058 -0.239058 -0.183437
377 22.6272 0 0 0 0 -0.23793 -0.23793 -0.183769
378 22.6873 0 0 0 0 -0.236544 -0.236544 -0.18404
379 22.7474 0 0 0 0 -0.233971 -0.233971 -0.184042
380 22.8075 0 0 0 0 -0.233541 -0.233541 -0.18443
381 22.8676 0 0 0 0 -0.230873 -0.230873 -0.184311
382 22.9277 0 0 0 0 -0.230285 -0.230285 -0.184584
383 22.9878 0 0 0 0 -0.227449 -0.227449 -0.184348
384 23.0479 0 0 0 0 -0.226643 -0.226643 -0.18451
385 23.108 0 0 0 0 -0.223563 -0.223563 -0.184161
386 23.1681 0 0 0 0 -0.221547 -0.221547 -0.184012
387 23.2282 0 0 0 0 -0.219555 -0.219555 -0.183811
388 23.2883 0 0 0 0 -0.217555 -0.217555 -0.18356
389 23.3484 0 0 0 0 -0.215532 -0.215532 -0.183257
390 23.4085 0 0 0 0 -0.213473 -0.213473 -0.182905
391 23.4686 0 0 0 0 -0.211366 -0.211366 -0.182502
392 23.5287 0 0 0 0 -0.209196 -0.209196 -0.18205
393 23.5888 0 0 0 0 -0.206932 -0.206932 -0.181553
394 23.6489 0 0 0 0 -0.203727 -0.203727 -0.180813
