# Time-averaged data for fix fa
# TimeStep Number-of-rows
# Row c_pA[1] c_pA[2] c_pA[3] c_pA[4] c_pA[5] c_pA[6] c_pA[7] c_pA[8]
0 360
266 26.55 0.4 0.0994762 0.487362 0.645123 -0.144858 -0.453482 0.0306698
267 26.65 0.1 0.000526239 0.00525477 0.0203006 -0.491286 -0.740399 -0.136154
268 26.75 0.2 0.0941681 0.164229 0.567164 -0.483438 -0.405719 -0.0781034
269 26.85 0.3 0.456264 0.194672 0.170473 -0.271887 -0.149469 -0.071658
270 26.95 0 0 0 0 -0.151114 -0.187357 0.0099242
271 27.05 0 0 0 0 -0.151227 -0.187471 0.00990314
272 27.15 0.1 0.0495333 0.00074651 0.0416096 -0.130496 -0.225808 -0.0956586
273 27.25 0.3 0.68205 0.660429 0.27772 -0.183725 -0.224046 -0.107552
274 27.35 0.1 0.0205878 0.00356874 0.108534 -0.32312 -0.135253 -0.173287
275 27.45 0 0 0 0 -0.186703 -0.161787 -0.172082
276 27.55 0.2 0.18747 0.0111979 0.127814 -0.133555 -0.121349 -0.137298
277 27.65 0 0 0 0 -0.0963519 -0.0856659 -0.107933
278 27.75 0 0 0 0 -0.0963588 -0.0856728 -0.107881
279 27.85 0.1 0.0707662 0.0328861 0.00890447 -0.0652623 -0.0196922 -0.0577422
280 27.95 0.1 0.0323099 0.00108258 0.0020182 -0.0488549 -0.0143068 -0.0377753
281 28.05 0.2 0.512664 0.0669317 0.067638 -0.00434436 -0.00497244 -0.00550829
282 28.15 0 0 0 0 -0.000354933 -0.00038011 -0.00136959
283 28.25 0 0 0 0 -0.00057372 -0.000598896 -0.00156538
284 28.35 0 0 0 0 -0.000426646 -0.000451822 -0.00140926
285 28.45 0 0 0 0 -0.000540672 -0.000565848 -0.00154795
286 28.55 0 0 0 0 -0.000451538 -0.000476714 -0.00142242
287 28.65 0 0 0 0 -0.00052319 -0.000548366 -0.00153392
288 28.75 0 0 0 0 -0.000468648 -0.000493825 -0.00143819
289 28.85 0 0 0 0 -0.000510889 -0.000536065 -0.00151714
290 28.95 0 0 0 0 -0.000481743 -0.00050692 -0.00145548
291 29.05 0 0 0 0 -0.000501725 -0.000526901 -0.00150031
292 29.15 0 0 0 0 -0.000492654 -0.00051783 -0.00147214
293 29.25 0 0 0 0 -0.000494508 -0.000519684 -0.00148187
294 29.35 0 0 0 0 -0.000512795 -0.000537971 -0.00149501
295 29.45 0.1 0.0213726 0.108057 0.00509627 -0.000462277 -0.000487453 -0.0010987
296 29.55 0 0 0 0 -0.000268655 -0.000293831 -0.000880841
297 29.65 0 0 0 0 -0.00028891 -0.000314086 -0.000919411
298 29.75 0 0 0 0 -0.000283167 -0.000308344 -0.000905039
299 29.85 0 0 0 0 -0.000283835 -0.000309011 -0.00090748
300 29.95 0 0 0 0 -0.000285708 -0.000310884 -0.000912365
301 30.05 0 0 0 0 -0.000282377 -0.000307553 -0.000901765
302 30.15 0 0 0 0 -0.00028451 -0.000309686 -0.000918381
303 30.25 0.1 0.178753 0.0549207 0.0136528 -0.000377775 -0.000402155 -0.000878851
304 30.35 0 0 0 0 -0.000239854 -0.000239854 -0.000557643
305 30.45 0 0 0 0 -0.000198345 -0.000198345 -0.000535441
306 30.55 0 0 0 0 -0.000203346 -0.000203346 -0.000543546
307 30.65 0 0 0 0 -0.000199252 -0.000199252 -0.000546403
308 30.75 0.1 0.285731 0.000132871 0.032059 -0.000318822 -0.000318822 -0.000496246
309 30.85 0 0 0 0 -7.47083e-05 -7.47083e-05 -0.000346253
310 30.95 0 0 0 0 -0.000113502 -0.000113502 -0.000384542
311 31.05 0 0 0 0 -9.5653e-05 -9.5653e-05 -0.000358943
312 31.15 0 0 0 0 -0.000108474 -0.000108474 -0.00037751
313 31.25 0 0 0 0 -0.000100117 -0.000100117 -0.000363631
314 31.35 0 0 0 0 -0.000106544 -0.000106544 -0.000374285
315 31.45 0 0 0 0 -0.000102603 -0.000102603 -0.00036594
316 31.55 0 0 0 0 -0.000105563 -0.000105563 -0.000372642
317 31.65 0 0 0 0 -0.000104368 -0.000104368 -0.000366709
318 31.75 0 0 0 0 -0.000105141 -0.000105141 -0.00037234
319 31.85 0 0 0 0 -0.000105595 -0.000105595 -0.000367381
320 31.95 0 0 0 0 -0.000105071 -0.000105071 -0.000371203
321 32.05 0 0 0 0 -0.000106369 -0.000106369 -0.000368187
322 32.15 0 0 0 0 -0.000105181 -0.000105181 -0.000370801
323 32.25 0 0 0 0 -0.000106595 -0.000106595 -0.000368783
324 32.35 0 0 0 0 -0.000105469 -0.000105469 -0.000369872
325 32.45 0 0 0 0 -0.000106079 -0.000106079 -0.000369675
326 32.55 0 0 0 0 -0.000106042 -0.000106042 -0.000369236
327 32.65 0 0 0 0 -0.000104344 -0.000104344 -0.000370146
328 32.75 0 0 0 0 -0.000108031 -0.000108031 -0.000368913
329 32.85 0 0 0 0 -9.69547e-05 -9.69547e-05 -0.00037049
330 32.95 0.1 0.236178 0.0135937 0.000677076 -0.000333775 -0.00376779 -0.000390279
