# Chunk-averaged data for fix f2 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount c_sa[1] c_sa[2] c_sa[3]
0 396 2000
  219 13.11 3 0.334645 0.334645 0.359839
  220 13.17 4 0.445711 0.445711 0.480742
  221 13.23 3 0.333935 0.333935 0.361339
  222 13.29 4 0.444803 0.444803 0.48293
  223 13.35 4 0.44432 0.44432 0.484357
  224 13.41 3 0.33294 0.33294 0.364278
  225 13.47 4 0.443546 0.443546 0.487161
  226 13.53 3 0.332397 0.332397 0.366534
  227 13.59 4 0.442873 0.442873 0.490371
  228 13.65 4 0.442539 0.442539 0.492388
  229 13.71 3 0.331708 0.331708 0.370696
  230 13.77 4 0.442049 0.442049 0.49625
  231 13.83 3 0.33139 0.33139 0.373749
  232 13.89 4 0.441694 0.441694 0.500526
  233 13.95 4 0.441556 0.441556 0.503168
  234 14.01 3 0.331107 0.331107 0.379191
  235 14.07 4 0.44144 0.44144 0.508117
  236 14.13 3 0.331083 0.331083 0.383064
  237 14.19 4 0.441495 0.441495 0.513502
  238 14.25 3 0.331194 0.331194 0.387267
  239 14.31 4 0.441739 0.441739 0.519321
  240 14.37 4 0.44197 0.44197 0.522838
  241 14.43 3 0.331672 0.331672 0.394525
  242 14.49 4 0.442547 0.442547 0.52934
  243 14.55 3 0.332191 0.332191 0.39956
  244 14.61 4 0.443361 0.443361 0.536267
  245 14.67 3 0.332897 0.332897 0.404919
  246 14.73 4 0.444435 0.444435 0.543625
  247 14.79 3 0.333805 0.333805 0.410592
  248 14.85 3 0.334261 0.334261 0.41312
  249 14.91 4 0.446464 0.446464 0.554857
  250 14.97 3 0.335492 0.335492 0.419235
  251 15.03 3 0.336095 0.336095 0.421946
  252 15.09 4 0.449147 0.449147 0.566907
  253 15.15 3 0.33769 0.33769 0.428479
  254 15.21 3 0.338459 0.338459 0.431362
  255 15.27 4 0.452568 0.452568 0.579721
  256 15.33 3 0.340466 0.340466 0.438277
  257 15.39 3 0.341423 0.341423 0.441314
  258 15.45 3 0.34244 0.34244 0.444396
  259 15.51 3 0.34352 0.34352 0.447511
  260 15.57 4 0.45982 0.45982 0.601594
  261 15.63 3 0.346298 0.346298 0.454919
  262 15.69 3 0.347604 0.347604 0.458145
  263 15.75 3 0.348982 0.348982 0.461391
  264 15.81 3 0.350435 0.350435 0.464658
  265 15.87 3 0.351965 0.351965 0.467937
  266 15.93 3 0.353574 0.353574 0.471227
  267 15.99 3 0.355264 0.355264 0.474517
  268 16.05 3 0.357036 0.357036 0.477805
  269 16.11 3 0.358893 0.358893 0.481083
  270 16.17 3 0.360835 0.360835 0.48434
  271 16.23 2 0.241679 0.241679 0.324692
  272 16.29 3 0.364266 0.364266 0.489711
  273 16.35 3 0.366442 0.366442 0.492882
  274 16.41 3 0.368706 0.368706 0.496005
  275 16.47 3 0.371058 0.371058 0.49907
  276 16.53 2 0.248722 0.248722 0.334384
  277 16.59 3 0.375171 0.375171 0.504024
  278 16.65 3 0.377752 0.377752 0.506888
  279 16.71 3 0.380415 0.380415 0.509659
  280 16.77 3 0.383157 0.383157 0.512328
  281 16.83 2 0.256999 0.256999 0.342981
  282 16.89 3 0.387893 0.387893 0.516526
  283 16.95 3 0.390826 0.390826 0.518881
  284 17.01 3 0.393823 0.393823 0.521104
  285 17.07 2 0.264242 0.264242 0.348572
  286 17.13 3 0.398941 0.398941 0.524504
  287 17.19 3 0.402077 0.402077 0.52635
  288 17.25 3 0.405253 0.405253 0.528048
  289 17.31 3 0.408462 0.408462 0.529597
  290 17.37 3 0.411699 0.411699 0.530994
  291 17.43 2 0.276275 0.276275 0.354696
  292 17.49 3 0.417136 0.417136 0.532988
  293 17.55 3 0.420413 0.420413 0.533987
  294 17.61 3 0.423693 0.423693 0.53484
  295 17.67 4 0.570023 0.570023 0.714208
  296 17.73 3 0.431331 0.431331 0.536294
  297 17.79 3 0.434585 0.434585 0.5367
  298 17.85 3 0.43782 0.43782 0.536979
  299 17.91 3 0.441034 0.441034 0.537143
  300 17.97 4 0.593001 0.593001 0.716258
  301 18.03 3 0.44843 0.44843 0.537106
  302 18.09 4 0.602753 0.602753 0.715843
  303 18.15 3 0.455656 0.455656 0.536544
  304 18.21 4 0.612261 0.612261 0.714786
  305 18.27 4 0.617574 0.617574 0.713933
  306 18.33 3 0.466613 0.466613 0.534793
  307 18.39 4 0.626653 0.626653 0.712061
  308 18.45 4 0.631712 0.631712 0.710807
  309 18.51 4 0.636677 0.636677 0.709436
  310 18.57 5 0.802685 0.802685 0.884713
  311 18.63 4 0.647506 0.647506 0.705995
  312 18.69 4 0.652167 0.652167 0.704335
  313 18.75 5 0.821626 0.821626 0.877984
  314 18.81 4 0.662326 0.662326 0.700373
  315 18.87 5 0.834046 0.834046 0.872874
  316 18.93 5 0.84071 0.84071 0.869929
  317 18.99 5 0.847214 0.847214 0.866926
  318 19.05 5 0.853561 0.853561 0.863886
  319 19.11 5 0.859756 0.859756 0.860818
  320 19.17 6 1.03968 1.03968 1.02891
  321 19.23 5 0.872875 0.872875 0.854028
  322 19.29 6 1.05502 1.05502 1.02077
  323 19.35 5 0.885334 0.885334 0.847266
  324 19.41 6 1.0696 1.0696 1.0127
  325 19.47 6 1.07725 1.07725 1.00837
  326 19.53 6 1.08469 1.08469 1.0041
  327 19.59 6 1.09195 1.09195 0.999903
  328 19.65 7 1.28286 1.28286 1.16135
  329 19.71 6 1.10703 1.10703 0.991081
  330 19.77 7 1.29998 1.29998 1.1513
  331 19.83 6 1.12131 1.12131 0.982693
  332 19.89 7 1.3162 1.3162 1.14179
  333 19.95 7 1.32458 1.32458 1.13691
  334 20.01 7 1.33272 1.33272 1.13221
  335 20.07 7 1.34065 1.34065 1.12768
  336 20.13 7 1.34836 1.34836 1.12334
  337 20.19 8 1.55015 1.55015 1.27874
  338 20.25 7 1.36419 1.36419 1.11467
  339 20.31 8 1.56773 1.56773 1.26934
  340 20.37 8 1.57669 1.57669 1.26474
  341 20.43 7 1.38675 1.38675 1.1031
  342 20.49 8 1.59279 1.59279 1.2569
  343 20.55 8 1.60101 1.60101 1.25315
  344 20.61 8 1.60898 1.60898 1.24969
  345 20.67 9 1.81935 1.81935 1.40213
  346 20.73 8 1.62515 1.62515 1.24331
  347 20.79 8 1.63241 1.63241 1.24077
  348 20.85 9 1.84486 1.84486 1.3932
  349 20.91 8 1.64711 1.64711 1.23635
  350 20.97 9 1.86087 1.86087 1.38895
  351 21.03 8 1.66088 1.66088 1.23323
  352 21.09 9 1.87586 1.87586 1.38618
  353 21.15 9 1.88339 1.88339 1.38529
  354 21.21 9 1.89065 1.89065 1.38481
  355 21.27 8 1.68646 1.68646 1.23086
  356 21.33 9 1.90364 1.90364 1.38498
  357 21.39 9 1.91014 1.91014 1.38564
  358 21.45 9 1.91639 1.91639 1.38669
  359 21.51 9 1.92239 1.92239 1.38812
  360 21.57 9 1.92813 1.92813 1.38993
  361 21.63 9 1.93363 1.93363 1.39212
  362 21.69 9 1.93889 1.93889 1.39467
  363 21.75 9 1.9439 1.9439 1.39759
  364 21.81 9 1.94867 1.94867 1.40087
  365 21.87 9 1.95319 1.95319 1.4045
  366 21.93 9 1.95748 1.95748 1.40848
  367 21.99 9 1.96152 1.96152 1.4128
  368 22.05 10 2.18392 2.18392 1.57526
  369 22.11 9 1.96927 1.96927 1.42302
  370 22.17 9 1.97256 1.97256 1.42837
  371 22.23 8 1.75595 1.75595 1.2744
  372 22.29 9 1.97811 1.97811 1.43931
  373 22.35 9 1.9807 1.9807 1.44554
  374 22.41 9 1.98303 1.98303 1.45205
  375 22.47 9 1.98512 1.98512 1.45885
  376 22.53 9 1.98695 1.98695 1.46591
  377 22.59 9 1.98852 1.98852 1.47324
  378 22.65 8 1.76869 1.76869 1.31589
  379 22.71 9 1.99079 1.99079 1.48774
  380 22.77 9 1.99161 1.99161 1.49574
  381 22.83 8 1.77079 1.77079 1.33644
  382 22.89 9 1.99241 1.99241 1.51143
  383 22.95 8 1.77107 1.77107 1.35068
  384 23.01 8 1.7709 1.7709 1.35757
  385 23.07 9 1.9918 1.9918 1.53564
  386 23.13 8 1.76986 1.76986 1.37255
  387 23.19 8 1.76905 1.76905 1.37974
  388 23.25 8 1.76804 1.76804 1.38699
  389 23.31 8 1.76681 1.76681 1.3943
  390 23.37 8 1.76536 1.76536 1.40164
  391 23.43 8 1.7637 1.7637 1.40902
  392 23.49 8 1.76181 1.76181 1.4164
  393 23.55 8 1.7597 1.7597 1.42377
  394 23.61 7 1.53783 1.53783 1.25183
  395 23.67 8 1.75513 1.75513 1.43752
  396 23.73 5 1.09557 1.09557 0.902137
