# Time-averaged data for fix f1
# TimeStep Number-of-rows
# Row c_pfull[1] c_pfull[2] c_pfull[3] c_pfull[4] c_pfull[5] c_pfull[6] c_pfull[7] c_pfull[8]
0 395
158 9.46556 0 0 0 0 -0.061012 -0.061012 -0.0649292
159 9.52566 0 0 0 0 -0.0608086 -0.0608086 -0.06461
160 9.58576 0 0 0 0 -0.0606051 -0.0606051 -0.0642971
161 9.64586 0 0 0 0 -0.0604014 -0.0604014 -0.0639905
162 9.70596 0 0 0 0 -0.0601976 -0.0601976 -0.0636901
163 9.76606 0 0 0 0 -0.0599935 -0.0599935 -0.0633958
164 9.82615 0 0 0 0 -0.0597891 -0.0597891 -0.0631077
165 9.88625 0 0 0 0 -0.0595844 -0.0595844 -0.0628257
166 9.94635 0 0 0 0 -0.0593794 -0.0593794 -0.0625495
167 10.0065 0 0 0 0 -0.0591741 -0.0591741 -0.0622793
168 10.0665 0 0 0 0 -0.0589687 -0.0589687 -0.0620147
169 10.1266 0 0 0 0 -0.0587632 -0.0587632 -0.0617558
170 10.1867 0 0 0 0 -0.0585578 -0.0585578 -0.0615023
171 10.2468 0 0 0 0 -0.0583526 -0.0583526 -0.0612542
172 10.3069 0 0 0 0 -0.0581476 -0.0581476 -0.0610112
173 10.367 0 0 0 0 -0.0579432 -0.0579432 -0.0607732
174 10.4271 0 0 0 0 -0.0577394 -0.0577394 -0.0605401
175 10.4872 0 0 0 0 -0.0575365 -0.0575365 -0.0603117
176 10.5473 0 0 0 0 -0.0573346 -0.0573346 -0.0600878
177 10.6074 0 0 0 0 -0.057134 -0.057134 -0.0598682
178 10.6675 0 0 0 0 -0.0569348 -0.0569348 -0.0596528
179 10.7276 0 0 0 0 -0.0567373 -0.0567373 -0.0594414
180 10.7877 0 0 0 0 -0.0565417 -0.0565417 -0.0592339
181 10.8478 0 0 0 0 -0.0563482 -0.0563482 -0.0590299
182 10.9079 0 0 0 0 -0.0561569 -0.0561569 -0.0588295
183 10.968 0 0 0 0 -0.0559681 -0.0559681 -0.0586324
184 11.0281 0 0 0 0 -0.055782 -0.055782 -0.0584386
185 11.0882 0 0 0 0 -0.0555988 -0.0555988 -0.0582477
186 11.1483 0 0 0 0 -0.0554186 -0.0554186 -0.0580598
187 11.2084 0 0 0 0 -0.0552416 -0.0552416 -0.0578747
188 11.2685 0 0 0 0 -0.055068 -0.055068 -0.0576923
189 11.3286 0 0 0 0 -0.0548978 -0.0548978 -0.0575124
190 11.3887 0 0 0 0 -0.0547312 -0.0547312 -0.0573351
191 11.4488 0 0 0 0 -0.0545683 -0.0545683 -0.0571601
192 11.5089 0 0 0 0 -0.0544092 -0.0544092 -0.0569876
193 11.569 0 0 0 0 -0.054254 -0.054254 -0.0568174
194 11.6291 0 0 0 0 -0.0541026 -0.0541026 -0.0566495
195 11.6892 0 0 0 0 -0.0539552 -0.0539552 -0.0564839
196 11.7493 0 0 0 0 -0.0538117 -0.0538117 -0.0563206
197 11.8094 0 0 0 0 -0.0536722 -0.0536722 -0.0561596
198 11.8695 0 0 0 0 -0.0535366 -0.0535366 -0.0560011
199 11.9296 0 0 0 0 -0.0534048 -0.0534048 -0.0558449
200 11.9897 0 0 0 0 -0.0532768 -0.0532768 -0.0556914
201 12.0498 0 0 0 0 -0.0531524 -0.0531524 -0.0555405
202 12.1099 0 0 0 0 -0.0530317 -0.0530317 -0.0553923
203 12.17 0 0 0 0 -0.0529143 -0.0529143 -0.0552471
204 12.2301 0 0 0 0 -0.0528003 -0.0528003 -0.055105
205 12.2902 0 0 0 0 -0.0526894 -0.0526894 -0.0549662
206 12.3503 0 0 0 0 -0.0525814 -0.0525814 -0.0548309
207 12.4104 0 0 0 0 -0.0524762 -0.0524762 -0.0546994
208 12.4705 0 0 0 0 -0.0523734 -0.0523734 -0.0545718
209 12.5306 0 0 0 0 -0.0522729 -0.0522729 -0.0544486
210 12.5907 0 0 0 0 -0.0521744 -0.0521744 -0.0543299
211 12.6508 0 0 0 0 -0.0520776 -0.0520776 -0.0542161
212 12.7109 0 0 0 0 -0.0519823 -0.0519823 -0.0541076
213 12.771 0 0 0 0 -0.0518882 -0.0518882 -0.0540047
214 12.8311 0 0 0 0 -0.0517949 -0.0517949 -0.0539078
215 12.8912 0 0 0 0 -0.0517021 -0.0517021 -0.0538173
216 12.9513 0 0 0 0 -0.0516096 -0.0516096 -0.0537335
