# Chunk-averaged data for fix dens and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
100000 238 2000.0000000000007
  18 1.75 1.545 0.109664
  19 1.85 1.9 0.134861
  20 1.95 1.84 0.130603
  21 2.05 2.07 0.146928
  22 2.15 2.23 0.158285
  23 2.25 2.53 0.179579
  24 2.35 2.695 0.19129
  25 2.45 3.235 0.229619
  26 2.55 3.365 0.238847
  27 2.65 3.435 0.243815
  28 2.75 4.145 0.294211
  29 2.85 3.835 0.272207
  30 2.95 4.445 0.315505
  31 3.05 4.4 0.312311
  32 3.15 4.915 0.348865
  33 3.25 5.295 0.375837
  34 3.35 5.44 0.38613
  35 3.45 5.93 0.42091
  36 3.55 6.445 0.457464
  37 3.65 6.335 0.449656
  38 3.75 6.955 0.493664
  39 3.85 6.87 0.48763
  40 3.95 7.095 0.503601
  41 4.05 7.46 0.529509
  42 4.15 7.38 0.52383
  43 4.25 8.47 0.601198
  44 4.35 8.1 0.574936
  45 4.45 8.395 0.595875
  46 4.55 9.05 0.642366
  47 4.65 8.84 0.62746
  48 4.75 8.645 0.613619
  49 4.85 8.77 0.622492
  50 4.95 9.16 0.650174
  51 5.05 9.125 0.64769
  52 5.15 9.86 0.69986
  53 5.25 9.7 0.688503
  54 5.35 9.815 0.696666
  55 5.45 10.26 0.728252
  56 5.55 10.465 0.742802
  57 5.65 10.125 0.718669
  58 5.75 9.95 0.706248
  59 5.85 10.16 0.721154
  60 5.95 10.375 0.736414
  61 6.05 11.065 0.78539
  62 6.15 10.885 0.772614
  63 6.25 10.94 0.776518
  64 6.35 10.185 0.722928
  65 6.45 11.07 0.785745
  66 6.55 10.625 0.754159
  67 6.65 10.835 0.769065
  68 6.75 10.655 0.756289
  69 6.85 11.365 0.806684
  70 6.95 11.635 0.825849
  71 7.05 11.375 0.807394
  72 7.15 11.35 0.80562
  73 7.25 11.29 0.801361
  74 7.35 11.245 0.798167
  75 7.45 11.57 0.821235
  76 7.55 11.445 0.812363
  77 7.65 11.775 0.835786
  78 7.75 11.51 0.816976
  79 7.85 11.655 0.827268
  80 7.95 11.655 0.827268
  81 8.05 12.06 0.856015
  82 8.15 11.915 0.845723
  83 8.25 11.87 0.842529
  84 8.35 11.925 0.846433
  85 8.45 11.61 0.824074
  86 8.55 12.195 0.865597
  87 8.65 11.735 0.832947
  88 8.75 12.24 0.868791
  89 8.85 12.025 0.853531
  90 8.95 12.11 0.859564
  91 9.05 12.66 0.898603
  92 9.15 12.29 0.87234
  93 9.25 12.255 0.869856
