# Chunk-averaged data for fix f2 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount c_sa[1] c_sa[2] c_sa[3]
0 396 2000
  276 16.53 2 0.248731 0.248731 0.334464
  277 16.59 3 0.375186 0.375186 0.504144
  278 16.65 3 0.377766 0.377766 0.507009
  279 16.71 3 0.380429 0.380429 0.50978
  280 16.77 3 0.383171 0.383171 0.512448
  281 16.83 2 0.25701 0.25701 0.343059
  282 16.89 3 0.387907 0.387907 0.516646
  283 16.95 3 0.390841 0.390841 0.519004
  284 17.01 3 0.393837 0.393837 0.521229
  285 17.07 2 0.264254 0.264254 0.348651
  286 17.13 3 0.398956 0.398956 0.524622
  287 17.19 3 0.402091 0.402091 0.526465
  288 17.25 3 0.405267 0.405267 0.528164
  289 17.31 3 0.408478 0.408478 0.529715
  290 17.37 3 0.411715 0.411715 0.531115
  291 17.43 2 0.276283 0.276283 0.35478
  292 17.49 3 0.41715 0.41715 0.533105
  293 17.55 3 0.420429 0.420429 0.534098
  294 17.61 3 0.423707 0.423707 0.534953
  295 17.67 4 0.570042 0.570042 0.71436
  296 17.73 3 0.431344 0.431344 0.536415
  297 17.79 3 0.434599 0.434599 0.536817
  298 17.85 3 0.437835 0.437835 0.537097
  299 17.91 3 0.441046 0.441046 0.537261
  300 17.97 4 0.593018 0.593018 0.716408
  301 18.03 3 0.448444 0.448444 0.537217
  302 18.09 4 0.60277 0.60277 0.715995
  303 18.15 3 0.455666 0.455666 0.53666
  304 18.21 4 0.612276 0.612276 0.714938
  305 18.27 4 0.617589 0.617589 0.714081
  306 18.33 3 0.466624 0.466624 0.534902
  307 18.39 4 0.626665 0.626665 0.712213
  308 18.45 4 0.631724 0.631724 0.710958
  309 18.51 4 0.63669 0.63669 0.709582
  310 18.57 5 0.802699 0.802699 0.884897
  311 18.63 4 0.647515 0.647515 0.706148
  312 18.69 4 0.652176 0.652176 0.70449
  313 18.75 5 0.821638 0.821638 0.878173
  314 18.81 4 0.662334 0.662334 0.700522
  315 18.87 5 0.834054 0.834054 0.873061
  316 18.93 5 0.840718 0.840718 0.870114
  317 18.99 5 0.847221 0.847221 0.867111
  318 19.05 5 0.853566 0.853566 0.86407
  319 19.11 5 0.859759 0.859759 0.860999
  320 19.17 6 1.03968 1.03968 1.02912
  321 19.23 5 0.872877 0.872877 0.854201
  322 19.29 6 1.05502 1.05502 1.02097
  323 19.35 5 0.885334 0.885334 0.847445
  324 19.41 6 1.06959 1.06959 1.01293
  325 19.47 6 1.07724 1.07724 1.0086
  326 19.53 6 1.08469 1.08469 1.00433
  327 19.59 6 1.09194 1.09194 1.00013
  328 19.65 7 1.28285 1.28285 1.16161
  329 19.71 6 1.10702 1.10702 0.991302
  330 19.77 7 1.29997 1.29997 1.15156
  331 19.83 6 1.1213 1.1213 0.982922
  332 19.89 7 1.31618 1.31618 1.14206
  333 19.95 7 1.32456 1.32456 1.13718
  334 20.01 7 1.3327 1.3327 1.13247
  335 20.07 7 1.34063 1.34063 1.12793
  336 20.13 7 1.34834 1.34834 1.12359
  337 20.19 8 1.55012 1.55012 1.27903
  338 20.25 7 1.36416 1.36416 1.11493
  339 20.31 8 1.5677 1.5677 1.26963
  340 20.37 8 1.57666 1.57666 1.26503
  341 20.43 7 1.38672 1.38672 1.10336
  342 20.49 8 1.59275 1.59275 1.25719
  343 20.55 8 1.60097 1.60097 1.25344
  344 20.61 8 1.60895 1.60895 1.24999
  345 20.67 9 1.8193 1.8193 1.40247
  346 20.73 8 1.62511 1.62511 1.24362
