# Time-averaged data for fix fB
# TimeStep Number-of-rows
# Row c_pB[1] c_pB[2] c_pB[3] c_pB[4] c_pB[5] c_pB[6] c_pB[7] c_pB[8]
0 360
104 10.35 0.3 0.661874 0.527748 0.109136 -0.760383 0.699646 -0.362512
105 10.45 1.3 1.25424 1.07682 0.962847 0.652448 0.965867 -0.487826
106 10.55 0.9 0.940991 0.930677 1.00496 -1.07547 -1.0119 -0.539986
107 10.65 0.4 0.277867 0.289532 0.443885 0.349467 -0.728878 -0.582631
108 10.75 0.9 1.16113 1.07163 0.742032 -0.700627 -1.55127 -0.684762
109 10.85 0.7 0.430942 0.457078 0.477288 -1.34273 -1.98178 -0.810377
110 10.95 0.3 0.145853 0.536308 0.38635 -1.56633 -1.85846 -1.06045
111 11.05 0.6 0.547415 0.716702 0.441738 -1.56342 -1.85103 -1.39271
112 11.15 0.6 0.629065 0.551949 0.695757 -1.86993 -0.773674 -1.70162
113 11.25 0.3 0.247733 0.0243158 0.0410624 -2.42396 -1.71728 -1.91894
114 11.35 0.9 1.00602 0.160022 0.696326 -2.85018 -3.05445 -1.95202
115 11.45 1.1 0.773676 0.613165 1.36824 -2.39597 -1.8971 -2.47215
116 11.55 1 0.428123 0.385271 0.295631 -4.1566 -3.45027 -2.51703
117 11.65 0.7 0.408401 0.953346 0.354363 -2.04797 -2.70092 -2.13703
118 11.75 0.6 0.785545 0.872225 0.459862 -1.65179 -1.80145 -1.91242
119 11.85 0.5 0.179803 0.256233 0.261832 -1.08054 -1.201 -1.50117
120 11.95 0.4 0.0667567 0.721869 0.247074 -1.70004 -1.81341 -1.50197
121 12.05 0.8 0.606975 1.07417 0.823709 -1.39891 -0.808483 -1.40236
122 12.15 0.7 0.247762 0.442482 0.976954 0.164243 -0.775797 -1.40857
123 12.25 0.9 1.0477 0.263743 0.939034 2.28774 -0.438848 -1.61881
124 12.35 0.9 1.0137 0.819961 0.496593 -0.929039 -1.53907 -1.41406
125 12.45 1 0.227414 0.866884 1.07515 -0.0890024 -0.175686 -1.36609
126 12.55 0.6 0.307356 0.254554 0.339712 -1.38656 -1.43651 -0.81868
127 12.65 0.7 0.106583 0.562634 0.486233 -0.379014 -1.41603 -0.372599
128 12.75 0.7 0.701974 0.265816 0.491099 0.281776 -1.48701 0.0940571
129 12.85 0.6 0.4901 0.326584 0.240504 -1.39424 -1.84137 -0.0366665
130 12.95 0.7 0.385886 0.328075 0.925645 -2.09341 -1.86442 -0.145598
131 13.05 0.4 0.393543 0.493265 0.187213 -1.6401 -2.24679 -0.22215
132 13.15 0.8 0.715648 0.858177 0.228972 -0.277097 -1.56887 0.0409523
133 13.25 0.7 0.620006 1.04333 0.533005 -0.451857 -0.715647 0.00935365
134 13.35 1 0.793241 1.1798 1.01322 -0.620428 -1.11756 -0.690095
135 13.45 0.6 0.679852 0.925897 0.30762 1.61267 -0.485621 -0.551477
136 13.55 0.7 0.402049 0.518602 0.618921 -0.802992 0.253293 -0.657972
137 13.65 1 1.03316 0.847672 1.35455 -1.07808 -0.598483 -1.27154
138 13.75 0.6 0.479529 0.0297147 0.776428 -1.81755 -0.0537113 -1.40971
139 13.85 0.6 0.202027 0.165846 0.773892 -0.710319 -0.993407 -1.52659
140 13.95 0.4 0.0918457 0.11541 0.386616 -0.950329 -1.80649 -1.53915
141 14.05 0.6 0.474623 0.569696 0.498455 -1.08659 -1.8313 -1.69978
142 14.15 0.9 0.321448 0.390693 0.311273 -2.55345 -2.60667 -1.68876
143 14.25 0.8 0.526056 0.474601 0.22429 -1.58554 -1.30465 -1.64395
144 14.35 1.1 0.411629 1.32269 0.821005 -1.35303 -0.738128 -1.39614
145 14.45 0.5 0.597461 0.252272 0.916786 -0.605789 -1.78167 -1.3032
146 14.55 0.7 0.433887 0.924705 0.55472 -0.890405 -1.94325 -1.15337
147 14.65 0.6 0.264962 1.4356 0.243479 -1.46956 -2.17614 -1.23685
148 14.75 0.9 1.04314 0.782034 0.884301 -0.824613 -1.07199 -1.11284
149 14.85 0.8 0.502323 0.597898 0.85019 -1.85379 -0.483691 0.121958
150 14.95 0.4 0.515104 0.126924 0.135097 -1.13358 -1.71284 0.88985
151 15.05 1 0.466467 0.678339 0.511305 -0.686613 -0.967727 0.787708
152 15.15 1.1 1.56121 1.81934 1.02552 -1.94627 1.16956 1.37452
153 15.25 0.6 0.510233 0.422539 0.449058 -1.69828 -1.02801 1.49981
154 15.35 0.5 0.373037 1.11416 0.521934 -1.33043 -0.908455 1.56726
155 15.45 0.9 1.27637 0.538677 0.494368 -2.015 -1.0564 1.83836
156 15.55 0.9 0.455131 0.360703 0.327818 -2.28107 -1.03588 1.3742
157 15.65 0.8 0.899225 0.946457 0.736051 -1.74181 -2.33883 0.493636
158 15.75 0.7 0.716937 0.481861 0.939367 -1.15758 -2.11166 -0.0120321
159 15.85 0.8 0.207274 0.47556 0.823543 -1.14917 -1.62942 -0.462938
160 15.95 0.5 0.531089 0.496092 0.285413 -1.25889 -1.49641 -0.572856
161 16.05 0.7 0.715234 0.559461 0.144704 -1.59923 -2.1611 -0.639686
162 16.15 0.8 0.423561 0.542354 0.882195 -1.07011 -1.54953 -0.829623
163 16.25 1.1 0.515528 0.667817 1.14207 -0.904637 -1.22302 -1.18537
164 16.35 0.6 0.0696125 0.642367 0.28935 -0.9926 -0.397481 -1.21218
165 16.45 0.9 0.377363 0.978494 0.359869 -0.936135 0.554616 -1.00684
166 16.55 0.8 0.225349 0.520227 0.538478 -0.251295 -1.67434 -0.63387
167 16.65 0.9 0.483473 0.850735 0.573023 0.0859097 -1.99937 -0.67151
168 16.75 0.6 0.335177 0.939633 0.630387 -0.082667 -1.58122 -0.42827
169 16.85 0.4 0.279622 0.144723 0.42395 -0.596781 -1.61869 -0.692879
170 16.95 0.4 0.667625 0.205875 0.449937 0.743881 -0.182134 -0.697427
171 17.05 1 0.459967 0.354183 0.899645 3.38361 0.558873 -0.893026
172 17.15 1 0.495241 0.668971 0.465736 0.416969 0.411678 -0.837856
173 17.25 1 0.666025 1.09384 0.614834 0.7558 -0.0707576 -0.473759
174 17.35 1.5 1.34652 1.71346 1.20202 -0.0245252 0.343413 -1.04816
175 17.45 0.3 0.441011 0.231643 0.699756 -2.12555 -2.55981 -1.46869
